company_name,sector,quarter,year,revenue_m,operating_profit_m,net_income_m
Swift Logistics,TRANSPORTATION,Q1,2022,337.74,18.58,12.68
GlobalShip Co,TRANSPORTATION,Q1,2022,150.44,29.68,23.83
AirFreight Inc,TRANSPORTATION,Q1,2022,451.48,30.42,22.1
RailLink Corp,TRANSPORTATION,Q1,2022,63.41,5.94,4.46
OceanTrade Ltd,TRANSPORTATION,Q1,2022,61.94,5.56,4.42
NexaTech,TECHNOLOGY,Q1,2022,295.22,27.78,21.58
CloudPeak Systems,TECHNOLOGY,Q1,2022,414.24,21.25,17.89
DataBridge Corp,TECHNOLOGY,Q1,2022,364.16,42.99,27.8
InnoCode Ltd,TECHNOLOGY,Q1,2022,480.75,56.4,35.41
QuantumSoft,TECHNOLOGY,Q1,2022,93.52,20.53,16.04
MedCore Group,HEALTHCARE,Q1,2022,413.21,80.97,61.61
LifeSciences Ltd,HEALTHCARE,Q1,2022,487.9,61.33,46.95
BioTech Corp,HEALTHCARE,Q1,2022,423.23,73.52,63.12
PharmaNet Inc,HEALTHCARE,Q1,2022,309.81,59.15,36.3
HealthFirst,HEALTHCARE,Q1,2022,152.55,16.46,10.27
CapitalOne Ventures,FINANCE,Q1,2022,154.76,10.86,7.42
Sterling Bank,FINANCE,Q1,2022,336.06,41.32,29.38
PrimeAsset Mgmt,FINANCE,Q1,2022,144.28,14.92,13.14
EquityPath Corp,FINANCE,Q1,2022,341.62,58.7,38.23
FundGrow Ltd,FINANCE,Q1,2022,378.11,31.26,22.31
SolarVast Inc,ENERGY,Q1,2022,495.29,88.16,67.63
GreenPower Corp,ENERGY,Q1,2022,358.08,78.27,65.18
OilField Partners,ENERGY,Q1,2022,153.07,8.64,6.0
WindHarvest Ltd,ENERGY,Q1,2022,170.48,15.72,13.88
FuelCore Group,ENERGY,Q1,2022,444.37,50.19,39.98
ShopNation Inc,RETAIL,Q1,2022,228.03,53.11,39.18
MarketPlace Corp,RETAIL,Q1,2022,169.2,16.81,12.92
TrendLine Retail,RETAIL,Q1,2022,168.23,28.08,24.41
ValueStore Ltd,RETAIL,Q1,2022,229.73,21.56,19.39
QuickBuy Group,RETAIL,Q1,2022,279.29,19.04,11.69
SteelBridge Corp,MANUFACTURING,Q1,2022,99.34,17.43,14.6
ProduceMaster Ltd,MANUFACTURING,Q1,2022,239.97,15.05,10.75
AutoParts Inc,MANUFACTURING,Q1,2022,498.25,77.64,69.2
BuildRight Group,MANUFACTURING,Q1,2022,437.35,22.87,18.67
PrecisionMfg,MANUFACTURING,Q1,2022,356.77,56.15,38.18
AquaCity Water,UTILITIES,Q1,2022,338.43,24.47,17.87
PowerGrid Corp,UTILITIES,Q1,2022,254.18,61.2,52.8
GasNet Utilities,UTILITIES,Q1,2022,168.53,25.3,16.54
CleanEnergy Ltd,UTILITIES,Q1,2022,460.68,103.24,71.19
CityServices Inc,UTILITIES,Q1,2022,337.53,57.99,37.45
Swift Logistics,TRANSPORTATION,Q2,2022,432.44,68.27,56.91
GlobalShip Co,TRANSPORTATION,Q2,2022,317.53,15.91,11.09
AirFreight Inc,TRANSPORTATION,Q2,2022,64.64,15.24,13.16
RailLink Corp,TRANSPORTATION,Q2,2022,466.67,52.04,32.13
OceanTrade Ltd,TRANSPORTATION,Q2,2022,489.61,117.21,73.34
NexaTech,TECHNOLOGY,Q2,2022,295.57,18.87,15.63
CloudPeak Systems,TECHNOLOGY,Q2,2022,434.09,32.85,24.39
DataBridge Corp,TECHNOLOGY,Q2,2022,327.15,33.7,29.04
